Mstar,class_star,qir,log(S8/S45),log(S58/S36),log(S45/S36)
0.776172425,0.028818423,0.646925058,0.738766036,0.448477873,0.301275419
0.878754827,0.000192008,0.574484054,0.437351985,0.490227465,0.227026316
0.889122374,0.000829318,0.590645711,0.485168973,0.532738756,0.122616807
0.902495265,0.640840404,0.643964315,0.539338276,0.605620599,0.638824667
0.934937567,0.01555487,0.617563192,0.546088126,0.493400642,0.194975203
0.858477352,0.927627338,0.653192032,0.676508558,0.569745465,0.340075486
0.939970184,0.000672632,0.606528826,0.566206776,0.481566453,0.200784173
0.913971292,0.00045144,0.639320149,0.495739113,0.502625721,0.173159875
0.894409883,0.000456271,0.635474153,0.444817645,0.443281841,0.111472021
0.935399927,0.027681368,0.629850885,0.509424969,0.438955031,0.184572267
0.911191201,0.015589588,0.652585387,0.596025761,0.498449105,0.139884429
0.860151334,0.969517809,0.680951517,0.565427932,0.703406052,0.548543572
0.909934529,0.028706217,0.631181903,0.608707654,0.524318031,0.257203235
0.930657767,0.000393979,0.481555526,0.416289425,0.462092122,0.134614505
0.867832448,0.028636478,0.57847911,0.59262496,0.479024552,0.193098423
0.913799389,0.024049316,0.383295692,0.093744197,0.50436481,0.252876198
0.884884069,0.028664655,0.649808619,0.719174943,0.424726501,0.354100245
0.8427974,0.000382305,0.605990699,0.691215456,0.443967137,0.376386571
0.931902584,0.028708229,0.309912581,0.426279996,0.365997591,0.069841025
0.89884973,0.068477655,0.629793493,0.382353318,0.582455464,0.608674539
0.887492257,0.0048634,0.639866738,0.64988545,0.565344318,0.271294074
0.901582399,0.000239909,0.633560967,0.518333956,0.497568486,0.133233529
0.903028758,0.001114009,0.605252301,0.506902413,0.429779157,0.358203104
0.92650245,0.050868962,0.470024125,0.442181643,0.617976791,0.567898541
0.913870521,0.028682769,0.643928494,0.596095366,0.464664592,0.25754191
0.896988432,0.020526048,0.690646447,0.574652327,0.485255616,0.353984558
0.896437156,0.028875683,0.620787837,0.693724626,0.58144102,0.216678466
0.886277078,0.028707122,0.584858906,0.802555747,0.479565375,0.319906626
0.919401065,0.025099826,0.618674656,0.69395339,0.542928542,0.256621511
0.871065415,0.000208713,0.624271735,0.516098467,0.386681152,0.28509614
0.92356231,0.050243527,0.647674436,0.504595314,0.548619092,0.503179485
0.904617382,0.029191671,0.649146272,0.637337397,0.543992316,0.142482577
0.892566368,0.711570933,0.588937579,0.614768777,0.629519502,0.541830867
0.894403955,0.410497811,0.599005169,0.520432413,0.566162537,0.629699753
0.875951025,0.773087389,0.622131766,0.522692617,0.650742977,0.491820943
0.922453831,0.973333819,0.288783599,0.685019904,0.657309833,0.592232025
0.903710444,0.09393513,0.607002169,0.545588585,0.585100811,0.569711767
0.879537284,0.028707726,0.661007147,0.810512548,0.418119054,0.202346133
0.887101029,0.027345153,0.651101289,0.664517113,0.491215331,0.303192423
0.899999704,0.190516511,0.565414549,0.724302558,0.632569285,0.430328946
0.920177594,0.000468347,0.58092926,0.499038178,0.494846441,0.11575353
